"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,3,23,137,146.8,183.704158825303,183.704158825303,"QUINTANA ROO","QR",2020-01-15
2020,3,24,319,404.6,523.191457484412,523.191457484412,"SAN LUIS POTOSÍ","SP",2020-01-15
2020,3,25,378,383,398.67867248516,398.67867248516,"SINALOA","SL",2020-01-15
2020,3,26,441,395.4,424.951841450136,424.951841450136,"SONORA","SR",2020-01-15
2020,3,27,305,291.2,388.370607787587,388.370607787587,"TABASCO","TC",2020-01-15
2020,3,28,437,507.6,552.540092489225,552.540092489225,"TAMAULIPAS","TS",2020-01-15
2020,3,29,145,166.4,195.155686450573,195.155686450573,"TLAXCALA","TL",2020-01-15
2020,3,30,1132,1213.2,1293.27663557433,1293.27663557433,"VERACRUZ","VZ",2020-01-15
2020,3,31,239,305.6,299.027283094942,299.027283094942,"YUCATÁN","YN",2020-01-15
2020,3,32,203,247.8,311.079469557194,311.079469557194,"ZACATECAS","ZS",2020-01-15
2020,4,1,135,160.4,224.892186224284,224.892186224284,"AGUASCALIENTES","AS",2020-01-22
2020,4,2,587,466.6,615.743587088746,615.743587088746,"BAJA CALIFORNIA","BC",2020-01-22
2020,4,3,77,79.6,112.058305275363,112.058305275363,"BAJA CALIFORNIA SUR","BS",2020-01-22
2020,4,4,103,101.2,104.003934659151,104.003934659151,"CAMPECHE","CC",2020-01-22
2020,4,5,389,438.8,544.683575253172,544.683575253172,"COAHUILA","CL",2020-01-22
2020,4,6,105,89.4,125.074285412716,125.074285412716,"COLIMA","CM",2020-01-22
2020,4,7,517,561.8,626.348974106848,626.348974106848,"CHIAPAS","CS",2020-01-22
2020,4,8,585,534.6,633.826881614491,633.826881614491,"CHIHUAHUA","CH",2020-01-22
2020,4,9,1761,1723.6,1799.17466401942,1799.17466401942,"CIUDAD DE MÉXICO","DF",2020-01-22
2020,4,10,205,234,275.148657953416,275.148657953416,"DURANGO","DG",2020-01-22
2020,4,11,849,860.4,902.493113202347,902.493113202347,"GUANAJUATO","GT",2020-01-22
2020,4,12,294,457.4,599.794450555886,599.794450555886,"GUERRERO","GR",2020-01-22
2020,4,13,372,428.4,555.203103658991,555.203103658991,"HIDALGO","HG",2020-01-22
2020,4,14,977,1043.8,1261.00149077304,1261.00149077304,"JALISCO","JC",2020-01-22
2020,4,15,1752,1793.6,2124.20884388626,2124.20884388626,"MÉXICO","MC",2020-01-22
2020,4,16,546,627.2,801.90966408769,801.90966408769,"MICHOACÁN","MN",2020-01-22
2020,4,17,298,284.2,321.897856043835,321.897856043835,"MORELOS","MS",2020-01-22
2020,4,18,114,143.2,164.730289135794,164.730289135794,"NAYARIT","NT",2020-01-22
2020,4,19,670,701,885.550724306259,885.550724306259,"NUEVO LEÓN","NL",2020-01-22
2020,4,20,486,480.2,643.810839535982,643.810839535982,"OAXACA","OC",2020-01-22
2020,4,21,861,841.4,1013.03167276133,1013.03167276133,"PUEBLA","PL",2020-01-22
2020,4,22,257,252,292.847188369621,292.847188369621,"QUERÉTARO","QT",2020-01-22
2020,4,23,143,143.6,179.817018069057,179.817018069057,"QUINTANA ROO","QR",2020-01-22
2020,4,24,334,405,474.642920984484,474.642920984484,"SAN LUIS POTOSÍ","SP",2020-01-22
2020,4,25,307,338,378.705161924062,378.705161924062,"SINALOA","SL",2020-01-22
2020,4,26,398,374.4,422.53906757301,422.53906757301,"SONORA","SR",2020-01-22
2020,4,27,304,319.8,378.909592020534,378.909592020534,"TABASCO","TC",2020-01-22
2020,4,28,399,497.8,542.457446703797,542.457446703797,"TAMAULIPAS","TS",2020-01-22
2020,4,29,174,164.6,174.924932213528,174.924932213528,"TLAXCALA","TL",2020-01-22
2020,4,30,1141,1162.4,1199.79620887292,1199.79620887292,"VERACRUZ","VZ",2020-01-22
2020,4,31,308,275.6,298.669651920065,298.669651920065,"YUCATÁN","YN",2020-01-22
2020,4,32,201,237.2,314.408142272519,314.408142272519,"ZACATECAS","ZS",2020-01-22
2020,5,1,130,146.4,226.862825941057,226.862825941057,"AGUASCALIENTES","AS",2020-01-29
2020,5,2,592,477,583.500791066429,583.500791066429,"BAJA CALIFORNIA","BC",2020-01-29
2020,5,3,80,74.6,95.1870762458779,95.1870762458779,"BAJA CALIFORNIA SUR","BS",2020-01-29
2020,5,4,108,92,105.51528594166,105.51528594166,"CAMPECHE","CC",2020-01-29
2020,5,5,402,384,472.79682075061,472.79682075061,"COAHUILA","CL",2020-01-29
2020,5,6,112,96.4,123.93398259677,123.93398259677,"COLIMA","CM",2020-01-29
2020,5,7,511,527.8,619.167255566823,619.167255566823,"CHIAPAS","CS",2020-01-29
2020,5,8,585,537.6,617.409782012215,617.409782012215,"CHIHUAHUA","CH",2020-01-29
2020,5,9,1612,1751.2,1806.44581798473,1806.44581798473,"CIUDAD DE MÉXICO","DF",2020-01-29
2020,5,10,215,218,268.636793795187,268.636793795187,"DURANGO","DG",2020-01-29
