"date_ref","name","metric","deaths"
2020-01-08,"CHIAPAS","farrington_estimation_all",686.940410028168
2020-01-08,"CHIAPAS","farrington_partial",686.940410028168
2020-01-08,"CHIHUAHUA","deaths_count",596
2020-01-08,"CHIHUAHUA","channel_endemic_estimation",681.8
2020-01-08,"CHIHUAHUA","farrington_estimation_all",640.399188343243
2020-01-08,"CHIHUAHUA","farrington_partial",640.399188343243
2020-01-08,"CIUDAD DE MÉXICO","deaths_count",1883
2020-01-08,"CIUDAD DE MÉXICO","channel_endemic_estimation",1704.4
2020-01-08,"CIUDAD DE MÉXICO","farrington_estimation_all",1932.82045772065
2020-01-08,"CIUDAD DE MÉXICO","farrington_partial",1932.82045772065
2020-01-08,"DURANGO","deaths_count",224
2020-01-08,"DURANGO","channel_endemic_estimation",286.2
2020-01-08,"DURANGO","farrington_estimation_all",309.359276716464
2020-01-08,"DURANGO","farrington_partial",309.359276716464
2020-01-08,"GUANAJUATO","deaths_count",960
2020-01-08,"GUANAJUATO","channel_endemic_estimation",830.2
2020-01-08,"GUANAJUATO","farrington_estimation_all",1056.79875242146
2020-01-08,"GUANAJUATO","farrington_partial",1056.79875242146
2020-01-08,"GUERRERO","deaths_count",333
2020-01-08,"GUERRERO","channel_endemic_estimation",536.6
2020-01-08,"GUERRERO","farrington_estimation_all",609.038378161101
2020-01-08,"GUERRERO","farrington_partial",609.038378161101
2020-01-08,"HIDALGO","deaths_count",380
2020-01-08,"HIDALGO","channel_endemic_estimation",574.8
2020-01-08,"HIDALGO","farrington_estimation_all",554.282532197433
2020-01-08,"HIDALGO","farrington_partial",554.282532197433
2020-01-08,"JALISCO","deaths_count",920
2020-01-08,"JALISCO","channel_endemic_estimation",1113
2020-01-08,"JALISCO","farrington_estimation_all",1267.3739473612
2020-01-08,"JALISCO","farrington_partial",1267.3739473612
2020-01-08,"MÉXICO","deaths_count",1975
2020-01-08,"MÉXICO","channel_endemic_estimation",1825.2
2020-01-08,"MÉXICO","farrington_estimation_all",2214.36659742566
2020-01-08,"MÉXICO","farrington_partial",2214.36659742566
2020-01-08,"MICHOACÁN","deaths_count",634
2020-01-08,"MICHOACÁN","channel_endemic_estimation",685.2
2020-01-08,"MICHOACÁN","farrington_estimation_all",719.986052113497
2020-01-08,"MICHOACÁN","farrington_partial",719.986052113497
2020-01-08,"MORELOS","deaths_count",277
2020-01-08,"MORELOS","channel_endemic_estimation",279.8
2020-01-08,"MORELOS","farrington_estimation_all",305.60871075257
2020-01-08,"MORELOS","farrington_partial",305.60871075257
2020-01-08,"NAYARIT","deaths_count",153
2020-01-08,"NAYARIT","channel_endemic_estimation",157.4
2020-01-08,"NAYARIT","farrington_estimation_all",164.415432685688
2020-01-08,"NAYARIT","farrington_partial",164.415432685688
2020-01-08,"NUEVO LEÓN","deaths_count",706
2020-01-08,"NUEVO LEÓN","channel_endemic_estimation",1122.6
2020-01-08,"NUEVO LEÓN","farrington_estimation_all",932.432745364199
2020-01-08,"NUEVO LEÓN","farrington_partial",932.432745364199
2020-01-08,"OAXACA","deaths_count",539
2020-01-08,"OAXACA","channel_endemic_estimation",554.8
2020-01-08,"OAXACA","farrington_estimation_all",620.763729948435
2020-01-08,"OAXACA","farrington_partial",620.763729948435
2020-01-08,"PUEBLA","deaths_count",926
2020-01-08,"PUEBLA","channel_endemic_estimation",878.2
2020-01-08,"PUEBLA","farrington_estimation_all",940.143255729298
2020-01-08,"PUEBLA","farrington_partial",940.143255729298
2020-01-08,"QUERÉTARO","deaths_count",273
2020-01-08,"QUERÉTARO","channel_endemic_estimation",238.2
2020-01-08,"QUERÉTARO","farrington_estimation_all",300.302877100536
2020-01-08,"QUERÉTARO","farrington_partial",300.302877100536
2020-01-08,"QUINTANA ROO","deaths_count",150
2020-01-08,"QUINTANA ROO","channel_endemic_estimation",145.2
2020-01-08,"QUINTANA ROO","farrington_estimation_all",182.887500396441
2020-01-08,"QUINTANA ROO","farrington_partial",182.887500396441
2020-01-08,"SAN LUIS POTOSÍ","deaths_count",342
2020-01-08,"SAN LUIS POTOSÍ","channel_endemic_estimation",435
2020-01-08,"SAN LUIS POTOSÍ","farrington_estimation_all",528.344046962644
2020-01-08,"SAN LUIS POTOSÍ","farrington_partial",528.344046962644
2020-01-08,"SINALOA","deaths_count",350
2020-01-08,"SINALOA","channel_endemic_estimation",378.2
2020-01-08,"SINALOA","farrington_estimation_all",380.546931480362
2020-01-08,"SINALOA","farrington_partial",380.546931480362
2020-01-08,"SONORA","deaths_count",430
2020-01-08,"SONORA","channel_endemic_estimation",434.8
2020-01-08,"SONORA","farrington_estimation_all",433.069012347881
2020-01-08,"SONORA","farrington_partial",433.069012347881
2020-01-08,"TABASCO","deaths_count",321
2020-01-08,"TABASCO","channel_endemic_estimation",323.4
2020-01-08,"TABASCO","farrington_estimation_all",376.813509177855
2020-01-08,"TABASCO","farrington_partial",376.813509177855
2020-01-08,"TAMAULIPAS","deaths_count",432
2020-01-08,"TAMAULIPAS","channel_endemic_estimation",541.8
2020-01-08,"TAMAULIPAS","farrington_estimation_all",530.173386220693
2020-01-08,"TAMAULIPAS","farrington_partial",530.173386220693
2020-01-08,"TLAXCALA","deaths_count",165
2020-01-08,"TLAXCALA","channel_endemic_estimation",163.8
2020-01-08,"TLAXCALA","farrington_estimation_all",192.924819188741
2020-01-08,"TLAXCALA","farrington_partial",192.924819188741
2020-01-08,"VERACRUZ","deaths_count",1181
2020-01-08,"VERACRUZ","channel_endemic_estimation",1224
2020-01-08,"VERACRUZ","farrington_estimation_all",1301.18130774978
2020-01-08,"VERACRUZ","farrington_partial",1301.18130774978
2020-01-08,"YUCATÁN","deaths_count",307
2020-01-08,"YUCATÁN","channel_endemic_estimation",284
2020-01-08,"YUCATÁN","farrington_estimation_all",319.535310505259
2020-01-08,"YUCATÁN","farrington_partial",319.535310505259
2020-01-08,"ZACATECAS","deaths_count",233
2020-01-08,"ZACATECAS","channel_endemic_estimation",262
2020-01-08,"ZACATECAS","farrington_estimation_all",304.298920786641
2020-01-08,"ZACATECAS","farrington_partial",304.298920786641
2020-01-15,"AGUASCALIENTES","deaths_count",136
2020-01-15,"AGUASCALIENTES","channel_endemic_estimation",174.6
2020-01-15,"AGUASCALIENTES","farrington_estimation_all",211.590104086188
2020-01-15,"AGUASCALIENTES","farrington_partial",211.590104086188
2020-01-15,"BAJA CALIFORNIA","deaths_count",636
2020-01-15,"BAJA CALIFORNIA","channel_endemic_estimation",514.8
2020-01-15,"BAJA CALIFORNIA","farrington_estimation_all",662.006848273758
2020-01-15,"BAJA CALIFORNIA","farrington_partial",662.006848273758
2020-01-15,"BAJA CALIFORNIA SUR","deaths_count",90
2020-01-15,"BAJA CALIFORNIA SUR","channel_endemic_estimation",79.8
2020-01-15,"BAJA CALIFORNIA SUR","farrington_estimation_all",116.440238541952
2020-01-15,"BAJA CALIFORNIA SUR","farrington_partial",116.440238541952
