"date_ref","ent_regis","metric","deaths"
2021-12-10,"United States","deaths_count",67783
2021-12-10,"United States","channel_endemic_estimation",57549.4
2021-12-10,"United States","farrington_estimation_all",99827.7321646497
2021-12-10,"United States","farrington_partial",60390.6979457469
2021-12-17,"United States","deaths_count",68024
2021-12-17,"United States","channel_endemic_estimation",58675.2
2021-12-17,"United States","farrington_estimation_all",103812.020166519
2021-12-17,"United States","farrington_partial",61939.9973722328
2021-12-24,"United States","deaths_count",69027
2021-12-24,"United States","channel_endemic_estimation",60042.2
2021-12-24,"United States","farrington_estimation_all",105124.179016812
2021-12-24,"United States","farrington_partial",62409.3340980126
2022-01-01,"United States","deaths_count",70846
2022-01-01,"United States","channel_endemic_estimation",64390.4
2022-01-01,"United States","farrington_estimation_all",103129.320793286
2022-01-01,"United States","farrington_partial",66204.4414539007
2022-01-08,"United States","deaths_count",69752
2022-01-08,"United States","channel_endemic_estimation",64965.8
2022-01-08,"United States","farrington_estimation_all",99477.9706865354
2022-01-08,"United States","farrington_partial",66346.3364682219
2022-01-15,"United States","deaths_count",65117
2022-01-15,"United States","channel_endemic_estimation",62507.6
2022-01-15,"United States","farrington_estimation_all",93703.6575588214
2022-01-15,"United States","farrington_partial",66431.2184771017
2022-01-22,"United States","deaths_count",53700
2022-01-22,"United States","channel_endemic_estimation",60890.8
2022-01-22,"United States","farrington_estimation_all",88913.2895549676
2022-01-22,"United States","farrington_partial",65500.46563846
2022-01-29,"United States","deaths_count",36335
2022-01-29,"United States","channel_endemic_estimation",59962.8
2022-01-29,"United States","farrington_estimation_all",83827.333877102
2022-01-29,"United States","farrington_partial",64514.94405581
2020-01-01,"Alabama","deaths_count",1082
2020-01-01,"Alabama","channel_endemic_estimation",1204.4
2020-01-01,"Alabama","farrington_estimation_all",1256.18371360652
2020-01-01,"Alabama","farrington_partial",1256.18371360652
2020-01-08,"Alabama","deaths_count",1127
2020-01-08,"Alabama","channel_endemic_estimation",1236.6
2020-01-08,"Alabama","farrington_estimation_all",1256.12518448744
2020-01-08,"Alabama","farrington_partial",1256.12518448744
